Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Chevrolet Engineering Works,TAEE,Standard Utility Vehicle,3.6,6,A6,X,14.2,9.9,12.3,23,283,high
Toyota Heavy Machinery,VNAA,Small Utility Vehicle,3.5,6,AS6,X,12.6,9.1,11.0,26,253,high
Bauer Machinery Works,M_AT,Subcompact Utility Machinery,3.0,6,M6,Z,13.8,9.4,11.9,24,280,high
Acura Manufacturing,NXXX,Small-Scale Operator Machinery,3.5,6,AM9,Z,11.1,10.8,11.0,26,261,high
Bauer Machinery Works,M4IE,Subcompact Utility Machinery,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,medium
Audi Industrial Equipment,RR88,Small-Scale Operator Machinery,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,high
Bauer Machinery Works,45_T,Subcompact Utility Machinery,3.0,6,AS8,Z,11.8,7.6,9.9,29,232,medium
Nissan Machinery Ltd.,TTNN,Standard Transport Machinery,5.6,8,A5,X,18.4,13.3,16.1,18,370,high
Honda Heavy Industries,H-_D,Small-Scale Transport Machinery,1.8,4,AV7,X,9.1,7.7,8.5,33,200,low
Acura Manufacturing,TXXX,Compact Utility Equipment,2.4,4,AM8,Z,10.0,7.1,8.7,32,205,medium
Infiniti Machine Works,Q6_D,Small Utility Vehicle,3.5,6,AV7,Z,12.2,8.9,10.7,26,246,medium
Chevrolet Engineering Works,EPER,Passenger Transport Equipment,4.8,8,A6,X,21.3,14.3,18.2,16,419,high
Jeep Engineering Co.,CEOV,Small Utility Vehicle,2.4,4,A9,X,11.0,7.8,9.6,29,225,medium
Dodge Equipment Ltd.,DR_T,Mid-Sized Utility Machines,2.4,4,M6,X,10.2,7.0,8.8,32,207,medium
Volkswaren Machine Systems,TGAN,Small Utility Vehicle,2.0,4,M6,Z,13.0,9.0,11.2,25,258,high
Mercedes Industrial Solutions,E40E,Subcompact Utility Machinery,3.0,6,A9,Z,12.5,9.1,11.0,26,257,high
Bauer Machinery Works,30II,Compact Utility Equipment,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,medium
Mazda Manufacturing Corp.,C-_D,Compact Utility Equipment,2.0,4,AS6,X,8.6,7.4,8.1,35,189,low
Volkswaren Machine Systems,TGAN,Small Utility Vehicle,2.0,4,AS6,Z,11.6,9.3,10.6,27,248,medium
Aston Martin Technologies,V_AS,Small-Scale Operator Machinery,4.7,8,M6,Z,18.1,12.3,15.5,18,356,high
Korea Industrial Apparatus,ROOO,Compact Utility Equipment,1.6,4,M6,X,8.3,6.4,7.5,38,175,low
Korea Industrial Apparatus,FRE),Mid-Sized Utility Machines,2.0,4,AS6,X,8.0,6.1,7.1,40,168,low
Toyota Heavy Machinery,HGLE,Standard Utility Vehicle,3.5,6,AV6,X,8.4,8.3,8.4,34,195,low
Toyota Heavy Machinery,SEND,Compact Transport Equipment,3.5,6,AS6,X,14.2,10.3,12.4,23,285,high
Bauer Machinery Works,X_5I,Standard Utility Vehicle,4.4,8,AS8,Z,14.5,10.7,12.8,22,302,high
Lexus Engineering,G_0T,Mid-Sized Utility Machines,2.0,4,AS8,Z,11.3,7.8,9.7,29,227,medium
Dodge Equipment Ltd.,JUNV,Small Utility Vehicle,3.6,6,A6,E,18.9,12.9,16.2,17,259,high
Cadillac Engineering Solutions,XSSS,Heavy-Duty Utility Machinery,3.6,6,AS6,X,13.2,8.5,11.1,25,260,high
Ford Industrial Corp.,F104,Standard Transport Machinery,2.7,6,AS6,X,13.3,10.4,12.0,24,276,high
General Manufacturing Corporation,SERD,Standard Transport Machinery,6.2,8,A8,Z,16.3,11.6,14.2,20,327,high
General Manufacturing Corporation,TRAV,Small Utility Vehicle,2.4,4,A6,E,15.6,11.0,13.6,21,223,medium
Chrysler Engineering,3000,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.4,7.8,10.3,27,242,medium
Porsche Engineering Works,CYNS,Standard Utility Vehicle,3.6,6,A8,Z,14.3,9.6,12.2,23,286,high
Volkswaren Machine Systems,GL_I,Compact Utility Equipment,2.0,4,M6,Z,9.4,6.9,8.3,34,191,low
Ram Industrial Equipment,10_L,Standard Transport Machinery,3.0,6,A8,D,11.6,8.4,10.2,28,272,high
General Manufacturing Corporation,SERD,Standard Transport Machinery,5.3,8,A6,X,15.6,10.9,13.5,21,317,high
Mini Industrial Tools,JH_E,Mini Utility Equipment,1.6,4,A6,Z,9.3,7.0,8.3,34,191,low
Jeep Engineering Co.,GADL,Standard Utility Vehicle,3.0,6,A8,D,11.2,8.4,9.9,29,267,high
Jaguar Industrial Machines,FPCT,Small Utility Vehicle,2.0,4,AS8,Z,10.7,8.8,9.9,29,227,medium
Mini Industrial Tools,COER,Subcompact Utility Machinery,2.0,4,AS6,Z,9.3,7.3,8.4,34,197,low
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,X,15.8,11.1,13.7,21,321,high
Volkswaren Machine Systems,C_MN,Compact Utility Equipment,3.6,6,AS6,Z,13.9,9.3,11.8,24,271,high
Ram Industrial Equipment,10_L,Standard Transport Machinery,3.0,6,A8,D,12.1,8.8,10.6,27,283,high
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,2.5,4,M5,X,12.2,10.2,11.3,25,260,high
Mercedes Industrial Solutions,E40E,Subcompact Utility Machinery,3.5,6,AS7,Z,11.8,8.3,10.2,28,235,medium
Bauer Machinery Works,X_DI,Small Utility Vehicle,3.0,6,AS8,Z,12.7,9.1,11.1,25,260,high
Honda Heavy Industries,CVCE,Compact Utility Equipment,2.0,4,AV,X,7.8,6.1,7.1,40,164,low
Mercedes Industrial Solutions,AGCC,Mini Utility Equipment,2.0,4,AM7,Z,10.3,7.9,9.2,31,217,medium
Ford Industrial Corp.,EOPD,Small Utility Vehicle,2.0,4,AS6,X,10.2,8.0,9.3,30,217,medium
Bauer Machinery Works,M4IE,Subcompact Utility Machinery,3.0,6,M6,Z,12.8,8.8,11.0,26,256,high
Toyota Heavy Machinery,CRLA,Compact Utility Equipment,2.0,4,M6,X,8.2,6.5,7.4,38,173,low
Jeep Engineering Co.,WAG),Small Utility Vehicle,3.6,6,M6,X,14.2,11.0,12.8,22,294,high
Toyota Heavy Machinery,TNRD,Standard Transport Machinery,5.7,8,AS6,X,18.2,14.1,16.3,17,380,high
Jeep Engineering Co.,CEOV,Small Utility Vehicle,2.4,4,A9,E,15.2,10.2,12.9,22,206,medium
Toyota Heavy Machinery,CMYY,Mid-Sized Utility Machines,3.5,6,AS6,X,11.1,7.8,9.6,29,221,medium
Honda Heavy Industries,OYSY,Compact Transport Equipment,3.5,6,A6,X,12.3,8.5,10.6,27,244,medium
Chevrolet Engineering Works,EUND,Small Utility Vehicle,2.4,4,A6,X,11.5,8.3,10.1,28,237,medium
Bauer Machinery Works,M5IE,Subcompact Utility Machinery,4.4,8,AS8,Z,13.3,9.2,11.5,25,269,high
Hyundai Manufacturing Solutions,ACNT,Compact Utility Equipment,1.6,4,M6,X,8.2,6.3,7.3,39,173,low
Audi Industrial Equipment,A_U),Mid-Sized Utility Machines,3.0,6,AS8,D,9.8,6.2,8.1,35,217,medium
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,2.0,4,AS8,Z,10.2,7.8,9.2,31,215,medium
Bauer Machinery Works,55_O,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,12.8,8.9,11.0,26,253,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,5.0,8,AS8,Z,15.6,10.4,13.3,21,311,high
Chevrolet Engineering Works,THEV,Standard Utility Vehicle,5.3,8,A6,X,15.7,10.5,13.4,21,314,high
Subaru Heavy Machinery,WXAD,Compact Utility Equipment,2.0,4,AV8,Z,12.5,9.6,11.2,25,255,high
Ford Industrial Corp.,MSA),Subcompact Utility Machinery,2.3,4,AS6,X,11.8,8.3,10.2,28,239,medium
Ford Industrial Corp.,TASB,Specialized Industrial Machinery,2.0,4,AS8,X,9.8,8.8,9.3,30,219,medium
Korea Industrial Apparatus,SOTE,Small Utility Vehicle,2.4,4,AS6,X,10.3,7.8,9.2,31,218,medium
Lamborghini Industrial Works,AET0,Small-Scale Operator Machinery,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,high
Mercedes Industrial Solutions,AGGC,Mid-Sized Transport Machinery,2.0,4,AM7,Z,10.7,8.3,9.6,29,225,medium
Korea Industrial Apparatus,OTMD,Mid-Sized Utility Machines,2.4,4,AS6,X,6.5,5.9,6.2,46,143,very low
Mini Industrial Tools,COEE,Mini Utility Equipment,1.5,3,AS6,Z,8.8,6.8,7.9,36,184,low
Maserat Engineering Ltd.,QAT4,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,15.0,10.3,12.8,22,301,high
Ram Industrial Equipment,10_E,Standard Transport Machinery,3.6,6,A8,X,12.2,9.7,11.1,25,260,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,2.8,4,A6,D,12.3,8.5,10.6,27,284,high
Bauer Machinery Works,X_DI,Small Utility Vehicle,2.0,4,AS8,Z,10.8,8.0,9.6,29,223,medium
Mercedes Industrial Solutions,GE5C,Standard Utility Vehicle,4.7,8,AS7,Z,16.2,11.8,14.2,20,335,high
Ford Industrial Corp.,TUUD,Heavy-Duty Utility Machinery,3.5,6,AS6,E,18.4,12.5,15.7,18,251,high
Chevrolet Engineering Works,CMRO,Compact Utility Equipment,3.6,6,AS6,X,13.2,8.7,11.2,25,258,high
Infiniti Machine Works,Q0_D,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.3,9.2,10.9,26,257,high
Lexus Engineering,I_5D,Compact Utility Equipment,3.5,6,AS6,Z,12.6,9.1,11.0,26,253,high
Dodge Equipment Ltd.,JUNV,Small Utility Vehicle,3.6,6,A6,E,19.1,13.2,16.4,17,274,high
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,2.5,4,AS8,X,8.4,6.0,7.3,39,172,low
Acura Manufacturing,TXXX,Compact Utility Equipment,2.4,4,AM8,Z,9.6,6.6,8.3,34,191,low
Bauer Machinery Works,M5IT,Subcompact Utility Machinery,4.4,8,AS8,Z,13.5,9.2,11.6,24,270,high
Fiat Industrial Equipment,50AH,Mini Utility Equipment,1.4,4,M5,X,8.4,7.0,7.8,36,182,low
General Manufacturing Corporation,AAID,Standard Utility Vehicle,3.6,6,A6,X,13.5,9.5,11.7,24,275,high
Nissan Machinery Ltd.,FOTD,Light-Duty Transport Machinery,4.0,6,M6,X,15.1,11.5,13.5,21,317,high
Hyundai Manufacturing Solutions,EATT,Heavy-Duty Utility Machinery,2.0,4,M6,X,9.8,7.4,8.7,32,207,medium
Audi Industrial Equipment,A_UO,Mid-Sized Utility Machines,2.0,4,AM7,Z,9.8,7.4,8.7,32,205,medium
Buick Heavy Industries,ECAE,Standard Utility Vehicle,3.6,6,A6,X,14.2,9.9,12.3,23,283,high
Hyundai Manufacturing Solutions,SNAD,Small Utility Vehicle,3.3,6,AS6,X,13.9,10.8,12.5,23,295,high
Toyota Heavy Machinery,TNRD,Standard Transport Machinery,4.6,8,AS6,X,16.9,12.8,15.1,19,347,high
Chevrolet Engineering Works,THED,Standard Utility Vehicle,6.2,8,A10,Z,16.5,10.9,13.9,20,327,high
Hyundai Manufacturing Solutions,VLSO,Compact Utility Equipment,1.6,4,M6,X,9.7,7.0,8.5,33,196,low
Infiniti Machine Works,Q600,Small Utility Vehicle,3.5,6,AV7,Z,11.4,8.5,10.1,28,232,medium
Lexus Engineering,I_50,Compact Utility Equipment,2.5,6,AS6,Z,11.1,7.8,9.6,29,221,medium
Mini Industrial Tools,COEN,Mid-Sized Utility Machines,1.5,3,AS6,Z,9.4,7.0,8.3,34,195,low
Jeep Engineering Co.,GAI4,Standard Transport Machinery,3.6,6,A8,X,13.7,10.7,12.3,23,290,high
General Manufacturing Corporation,SERD,Standard Transport Machinery,6.2,8,A8,Z,16.0,11.7,14.1,20,331,high
Chevrolet Engineering Works,SLEO,Standard Transport Machinery,4.3,6,A6,X,15.1,11.5,13.5,21,316,high
Bauer Machinery Works,40_E,Compact Utility Equipment,3.0,6,M6,Z,13.0,8.5,11.0,26,256,high
Volvo Industrial Solutions,S0T5,Compact Utility Equipment,2.0,4,AS8,Z,10.5,7.1,8.9,32,208,medium
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,5.0,8,AS8,Z,15.6,10.4,13.3,21,311,high
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,X,14.5,10.2,12.6,22,294,high
Audi Industrial Equipment,Q_UO,Compact Utility Equipment,2.0,4,AS6,Z,11.9,8.4,10.3,27,240,medium
Bauer Machinery Works,30_N,Compact Utility Equipment,2.0,4,M6,Z,10.7,6.9,9.0,31,207,medium
Mitsubishi Industrial Equipment,RRRR,Small Utility Vehicle,2.0,4,AV6,X,9.6,7.6,8.7,32,202,medium
Mercedes Industrial Solutions,SK5G,Small-Scale Operator Machinery,5.5,8,AS7,Z,12.4,8.5,10.6,27,244,medium
Porsche Engineering Works,PNMS,Heavy-Duty Utility Machinery,4.8,8,AM7,Z,15.1,9.7,12.7,22,292,high
Mercedes Industrial Solutions,S_3G,Small-Scale Operator Machinery,5.5,8,AS7,Z,14.8,10.2,12.7,22,292,high
Toyota Heavy Machinery,HGLD,Standard Utility Vehicle,3.5,6,AS6,X,13.0,9.7,11.5,25,264,high
Lamborghini Industrial Works,AET0,Small-Scale Operator Machinery,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,high
General Manufacturing Corporation,YKNL,Standard Utility Vehicle,5.3,8,A6,E,20.2,13.6,17.2,16,275,high
Mercedes Industrial Solutions,AGCE,Subcompact Utility Machinery,3.0,6,A9,Z,11.8,8.8,10.5,27,245,medium
Dodge Equipment Ltd.,CALE,Mid-Sized Utility Machines,6.2,8,A8,Z,17.6,10.7,14.5,19,339,high
Ford Industrial Corp.,F10),Standard Transport Machinery,3.5,6,AS10,X,14.0,11.0,12.7,22,298,high
Land Rover Machinery Co.,RNED,Standard Utility Vehicle,5.0,8,AS8,Z,17.2,12.5,15.1,19,356,high
Chevrolet Engineering Works,SLEO,Standard Transport Machinery,5.3,8,A6,X,14.6,10.4,12.7,22,298,high
Jeep Engineering Co.,NWW4,Small Utility Vehicle,2.0,4,A8,X,10.5,9.4,10.0,28,233,medium
Buick Heavy Industries,LCOD,Mid-Sized Utility Machines,3.6,6,AS6,X,13.9,9.1,11.7,24,269,high
Porsche Engineering Works,91C4,Mini Utility Equipment,3.4,6,M7,Z,12.3,8.7,10.7,26,251,high
Bauer Machinery Works,M_EN,Mid-Sized Utility Machines,4.4,8,M6,Z,16.1,10.8,13.7,21,315,high
Dodge Equipment Ltd.,CAGI,Heavy-Duty Utility Machinery,6.4,8,A8,Z,15.7,9.5,12.9,22,297,high
Bauer Machinery Works,X_DI,Small Utility Vehicle,2.0,4,A8,Z,10.6,7.2,9.1,31,209,medium
Infiniti Machine Works,Q0AD,Subcompact Utility Machinery,2.0,4,AS7,Z,11.2,8.5,10.0,28,233,medium
Land Rover Machinery Co.,RNEV,Standard Utility Vehicle,3.0,6,AS8,Z,14.2,10.2,12.4,23,285,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,5.0,8,AS8,Z,15.0,10.2,12.8,22,302,high
Korea Industrial Apparatus,ROEO,Compact Utility Equipment,1.6,4,AS6,X,8.5,6.3,7.6,37,175,low
Chrysler Engineering,20FV,Mid-Sized Utility Machines,3.6,6,A9,E,16.5,10.1,13.6,21,225,medium
Subaru Heavy Machinery,OTAD,Small Utility Vehicle,2.5,4,AV6,X,9.4,7.3,8.4,34,198,low
Ford Industrial Corp.,FETA,Subcompact Utility Machinery,1.6,4,AM6,X,8.6,6.4,7.6,37,179,low
Nissan Machinery Ltd.,TTNN,Standard Transport Machinery,5.6,8,AS7,X,15.0,11.2,13.3,21,312,high
Mercedes Industrial Solutions,C30E,Subcompact Utility Machinery,3.5,6,AS7,Z,12.1,8.6,10.5,27,242,medium
General Manufacturing Corporation,CNOD,Light-Duty Transport Machinery,2.8,4,A6,D,12.2,8.4,10.5,27,283,high
Rolls-Royce Engineering,GOTB,Heavy-Duty Utility Machinery,6.6,12,AS8,Z,20.3,13.0,17.0,17,397,high
Ford Industrial Corp.,ECPD,Small Utility Vehicle,1.5,3,A8,X,8.9,7.6,8.3,34,196,low
Bauer Machinery Works,M_ON,Subcompact Utility Machinery,4.4,8,AS8,Z,16.0,11.0,13.8,20,322,high
Bauer Machinery Works,M_AT,Subcompact Utility Machinery,4.4,8,M6,Z,16.1,10.9,13.7,21,321,high
Jaguar Industrial Machines,X_5D,Mid-Sized Utility Machines,3.0,6,AS8,Z,12.0,8.4,10.4,27,243,medium
Jaguar Industrial Machines,XLSD,Heavy-Duty Utility Machinery,5.0,8,AS8,E,20.6,13.6,17.5,16,280,high
Ford Industrial Corp.,FCSV,Compact Utility Equipment,2.0,4,AM6,E,11.9,8.3,10.3,27,170,low
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.4,4,M5,X,8.3,5.9,7.2,39,168,low
Chevrolet Engineering Works,EUND,Small Utility Vehicle,1.5,4,A6,X,9.8,7.9,8.9,32,209,medium
Dodge Equipment Ltd.,CAG),Heavy-Duty Utility Machinery,5.7,8,A5,X,15.7,9.6,12.9,22,297,high
Lincoln Manufacturing,MSAD,Heavy-Duty Utility Machinery,3.5,6,AS6,X,13.7,9.4,11.8,24,271,high
Hyundai Manufacturing Solutions,SNTA,Heavy-Duty Utility Machinery,2.4,4,AS6,X,9.8,6.9,8.5,33,202,medium
Infiniti Machine Works,Q0AD,Mid-Sized Utility Machines,5.6,8,AS7,Z,15.0,10.2,12.8,22,294,high
Bauer Machinery Works,Z_DI,Small-Scale Operator Machinery,2.0,4,M6,Z,10.7,7.0,9.0,31,211,medium
Lincoln Manufacturing,NVGV,Standard Utility Vehicle,5.4,8,A6,E,24.5,18.0,21.6,13,346,high
Lincoln Manufacturing,CNID,Heavy-Duty Utility Machinery,3.7,6,AS6,X,14.3,9.7,12.2,23,287,high
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,2.5,4,AS8,X,9.3,6.8,8.2,34,190,low
Fiat Industrial Equipment,50XX,Small Utility Vehicle,2.4,4,A9,X,10.7,7.8,9.4,30,220,medium
Bauer Machinery Works,M4IT,Subcompact Utility Machinery,3.0,6,M6,Z,12.2,8.2,10.4,27,242,medium
Bauer Machinery Works,60_T,Subcompact Utility Machinery,3.0,6,AS8,Z,12.3,8.4,10.5,27,248,medium
Chevrolet Engineering Works,SLED,Standard Transport Machinery,5.3,8,A6,X,15.0,10.7,13.1,22,307,high
Chrysler Engineering,3000,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.4,7.7,10.3,27,237,medium
Ford Industrial Corp.,F100,Standard Transport Machinery,2.7,6,AS6,X,12.3,9.2,10.9,26,256,high
Land Rover Machinery Co.,RNEC,Standard Utility Vehicle,5.0,8,AS8,Z,17.3,12.2,15.0,19,345,high
Mercedes Industrial Solutions,AGE+,Mid-Sized Utility Machines,3.0,6,A9,Z,11.2,8.3,9.9,29,232,medium
Jeep Engineering Co.,GAD),Standard Utility Vehicle,6.4,8,A8,Z,18.5,12.6,15.8,18,370,high
Lamborghini Industrial Works,HRCN,Small-Scale Operator Machinery,5.2,10,AM7,Z,16.8,11.4,14.4,20,336,high
Jeep Engineering Co.,GAD4,Standard Utility Vehicle,3.6,6,A8,X,12.7,9.6,11.3,25,265,high
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,19.8,13.9,17.2,16,285,high
Chevrolet Engineering Works,SBRD,Standard Utility Vehicle,5.3,8,A6,X,16.0,11.1,13.8,20,317,high
Lincoln Manufacturing,MZAD,Mid-Sized Utility Machines,2.0,4,AS6,X,11.8,8.4,10.2,28,239,medium
Volvo Industrial Solutions,S0TD,Compact Utility Equipment,2.0,4,AS8,Z,11.1,7.3,9.4,30,218,medium
Mercedes Industrial Solutions,AGG3,Standard Utility Vehicle,5.5,8,A7,Z,19.9,15.5,17.9,16,419,high
General Manufacturing Corporation,TRAN,Small Utility Vehicle,1.5,4,A9,X,9.2,7.9,8.6,33,201,medium
Hyundai Manufacturing Solutions,EATT,Heavy-Duty Utility Machinery,2.0,4,AS6,X,9.4,7.1,8.4,34,200,low
Volvo Industrial Solutions,X6_D,Small Utility Vehicle,2.5,5,AS6,X,12.5,9.2,11.0,26,254,high
Korea Industrial Apparatus,FREP,Compact Utility Equipment,2.0,4,AS6,X,9.7,7.1,8.6,33,198,low
Porsche Engineering Works,91C4,Mini Utility Equipment,3.4,6,AM7,Z,11.6,8.5,10.2,28,235,medium
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,3.5,6,AS8,X,10.7,7.4,9.2,31,215,medium
Lexus Engineering,N_0D,Small Utility Vehicle,2.0,4,AS6,Z,10.6,8.4,9.6,29,225,medium
Bauer Machinery Works,55_E,Mid-Sized Utility Machines,3.0,6,A8,D,9.2,6.4,7.9,36,213,medium
General Manufacturing Corporation,SVND,Cargo Transport Equipment,5.3,8,A4,E,23.7,18.8,21.5,13,344,high
Chevrolet Engineering Works,SLES,Standard Transport Machinery,5.3,8,A10,X,14.7,11.2,13.1,22,307,high
Ford Industrial Corp.,F10),Standard Transport Machinery,3.5,6,AS10,X,13.7,11.2,12.5,23,293,high
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,2.5,4,AV6,X,4.9,4.8,4.9,58,113,very low
Mini Industrial Tools,COE4,Mid-Sized Utility Machines,1.5,3,AS8,Z,10.2,7.6,9.0,31,212,medium
Hyundai Manufacturing Solutions,EATT,Mid-Sized Utility Machines,2.0,4,AS6,X,9.7,7.2,8.6,33,198,low
Buick Heavy Industries,LCOV,Mid-Sized Utility Machines,3.6,6,AS6,E,18.7,12.4,15.8,18,260,high
Volkswaren Machine Systems,GL_R,Compact Utility Equipment,2.0,4,M6,Z,11.4,8.2,9.9,29,232,medium
Acura Manufacturing,IXXX,Compact Utility Equipment,2.4,4,AM8,Z,9.4,6.8,8.2,34,192,low
Chevrolet Engineering Works,SBRN,Standard Utility Vehicle,5.3,8,A6,E,21.5,14.6,18.4,15,294,high
Alfa Machinery Systems,GUID,Mid-Sized Utility Machines,2.0,4,A8,Z,10.5,7.7,9.2,31,217,medium
Lexus Engineering,E_0H,Mid-Sized Utility Machines,2.5,4,AS6,X,5.5,5.2,5.3,53,124,very low
Jaguar Industrial Machines,XLPD,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,14.0,9.4,11.9,24,280,high
Nissan Machinery Ltd.,PTFR,Small Utility Vehicle,3.5,6,AV,X,11.6,8.5,10.2,28,240,medium
Mazda Manufacturing Corp.,M-55,Small-Scale Operator Machinery,2.0,4,AS6,Z,9.0,6.6,7.9,36,186,low
Porsche Engineering Works,PNM4,Heavy-Duty Utility Machinery,3.0,6,AM8,Z,12.4,9.0,10.9,26,253,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,5.0,8,AS8,Z,15.2,9.8,12.7,22,299,high
Acura Manufacturing,IXXX,Compact Utility Equipment,2.4,4,M6,Z,10.8,7.4,9.3,30,214,medium
Honda Heavy Industries,C-_D,Small Utility Vehicle,2.4,4,A5,X,10.6,7.9,9.4,30,216,medium
Korea Industrial Apparatus,SDNX,Compact Transport Equipment,3.3,6,AS6,X,12.9,9.5,11.4,25,262,high
Toyota Heavy Machinery,PISC,Compact Utility Equipment,1.5,4,AV,X,4.5,5.1,4.7,60,111,very low
Jeep Engineering Co.,PTIT,Small Utility Vehicle,2.0,4,M5,X,10.3,7.9,9.3,30,216,medium
Toyota Heavy Machinery,TCMA,Light-Duty Transport Machinery,3.5,6,AS6,X,12.6,10.0,11.4,25,267,high
Honda Heavy Industries,ACRD,Heavy-Duty Utility Machinery,1.5,4,M6,X,8.9,6.7,7.9,36,185,low
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.0,4,M6,X,8.2,5.9,7.1,40,167,low
Mazda Manufacturing Corp.,MZA2,Compact Utility Equipment,1.5,4,M5,X,8.0,6.7,7.4,38,170,low
Mercedes Industrial Solutions,GC3E,Small Utility Vehicle,2.0,4,A9,Z,10.8,9.0,10.0,28,234,medium
Lincoln Manufacturing,CNID,Heavy-Duty Utility Machinery,2.7,6,AS6,X,14.0,9.4,12.0,24,281,high
Mini Industrial Tools,JH_S,Subcompact Utility Machinery,2.0,4,AS6,Z,9.3,7.3,8.4,34,197,low
Mercedes Industrial Solutions,CS5C,Compact Utility Equipment,4.7,8,AS7,Z,13.7,9.3,11.7,24,277,high
General Manufacturing Corporation,SERD,Standard Transport Machinery,4.3,6,A6,E,20.0,15.1,17.8,16,285,high
Honda Heavy Industries,CVCI,Mid-Sized Utility Machines,1.5,4,M6,Z,8.4,6.2,7.4,38,173,low
Dodge Equipment Ltd.,DRNV,Standard Utility Vehicle,3.6,6,A8,X,13.9,9.8,12.1,23,278,high
Subaru Heavy Machinery,FRSD,Small Utility Vehicle,2.5,4,AV6,X,9.2,7.4,8.4,34,196,low
Infiniti Machine Works,Q7_D,Small Utility Vehicle,3.7,6,AS7,Z,14.6,10.7,12.8,22,294,high
Jeep Engineering Co.,PTI4,Small Utility Vehicle,2.4,4,A6,X,11.7,9.2,10.6,27,249,medium
Porsche Engineering Works,CYNE,Standard Utility Vehicle,3.6,6,A8,Z,12.9,9.7,11.5,25,268,high
Jaguar Industrial Machines,FTPC,Small-Scale Operator Machinery,3.0,6,M6,Z,15.3,10.0,12.9,22,302,high
Korea Industrial Apparatus,SRND,Small Utility Vehicle,2.0,4,AS6,X,12.3,9.3,10.9,26,259,high
Mazda Manufacturing Corp.,MZA6,Mid-Sized Utility Machines,2.5,4,AS6,X,8.8,6.1,7.6,37,178,low
Ford Industrial Corp.,FETT,Compact Utility Equipment,1.6,4,M6,X,8.9,6.8,8.0,35,184,low
Chrysler Engineering,2000,Mid-Sized Utility Machines,3.6,6,A9,X,12.4,7.5,10.2,28,235,medium
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,A8,Z,17.6,10.7,14.5,19,339,high
Toyota Heavy Machinery,CRLA,Compact Utility Equipment,1.8,4,M6,X,8.0,6.0,7.1,40,165,low
Lamborghini Industrial Works,HRCD,Small-Scale Operator Machinery,5.2,10,AM7,Z,18.0,12.9,15.7,18,370,high
Dodge Equipment Ltd.,CALT,Mid-Sized Utility Machines,6.2,8,A8,Z,17.6,10.7,14.5,19,339,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,6.2,8,A10,Z,17.1,11.3,14.5,19,340,high
Mercedes Industrial Solutions,AGEN,Mid-Sized Transport Machinery,4.0,8,A9,Z,14.6,10.4,12.7,22,299,high
General Manufacturing Corporation,CNON,Light-Duty Transport Machinery,3.6,6,A8,X,13.4,9.6,11.7,24,274,high
Mazda Manufacturing Corp.,MZAD,Compact Utility Equipment,2.5,4,AS6,X,9.2,7.0,8.2,34,192,low
Lincoln Manufacturing,MSAD,Heavy-Duty Utility Machinery,3.5,6,AS6,X,13.9,9.5,11.9,24,274,high
Chrysler Engineering,30FV,Heavy-Duty Utility Machinery,3.6,6,A8,E,17.1,10.6,14.2,20,234,medium
Korea Industrial Apparatus,FREP,Compact Utility Equipment,1.6,4,M6,X,10.8,8.1,9.6,29,221,medium
Mercedes Industrial Solutions,C30E,Subcompact Utility Machinery,3.5,6,AS7,Z,12.1,8.7,10.6,27,244,medium
